Type;FSP;
Version;4.50;
Date;25.Mar 25;
Mode;ANALYZER;
Center Freq;1063640000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;1063640000.000000;Hz
Stop;1063640000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
RBW;10.000000;Hz
VBW;30.000000;Hz
SWT;80.000000;s
Trace Mode;CLR/WRITE;
Detector;SAMPLE;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;NOT AVAILABLE;
Transducer;OFF;
Values;501;
18.080000000000002;-46.758274078369141;
18.240000000000002;-46.739433288574219;
18.400000000000002;-46.686817169189453;
18.559999999999999;-46.592643737792969;
18.719999999999999;-46.418331146240234;
18.879999999999999;-46.418098449707031;
19.039999999999999;-46.719596862792969;
19.199999999999999;-46.795597076416016;
19.359999999999999;-46.932857513427734;
19.52;-47.014266967773438;
19.68;-46.966949462890625;
19.84;-46.884475708007813;
20;-47.148635864257813;
20.16;-47.469989776611328;
20.32;-47.10321044921875;
20.48;-47.52447509765625;
20.640000000000001;-47.219398498535156;
20.800000000000001;-47.918052673339844;
20.960000000000001;-47.752017974853516;
21.120000000000001;-47.576263427734375;
21.280000000000001;-47.681350708007813;
21.440000000000001;-47.821044921875;
21.600000000000001;-47.657550811767578;
21.760000000000002;-47.728160858154297;
21.920000000000002;-47.765575408935547;
22.080000000000002;-47.680637359619141;
22.240000000000002;-47.622951507568359;
22.400000000000002;-47.634040832519531;
22.559999999999999;-47.615814208984375;
22.719999999999999;-47.593608856201172;
22.879999999999999;-47.56683349609375;
23.039999999999999;-47.566963195800781;
23.199999999999999;-47.614486694335938;
23.359999999999999;-47.622951507568359;
23.52;-47.626941680908203;
23.68;-47.611785888671875;
23.84;-47.603687286376953;
24;-47.585880279541016;
24.16;-47.597320556640625;
24.32;-47.591972351074219;
24.48;-47.581378936767578;
24.640000000000001;-47.585968017578125;
24.800000000000001;-47.596302032470703;
24.960000000000001;-47.592105865478516;
25.120000000000001;-47.599441528320313;
25.280000000000001;-47.606739044189453;
25.440000000000001;-47.601829528808594;
25.600000000000001;-47.607891082763672;
25.760000000000002;-47.628715515136719;
25.920000000000002;-47.639144897460938;
26.080000000000002;-47.635772705078125;
26.240000000000002;-47.636436462402344;
26.400000000000002;-47.628669738769531;
26.560000000000002;-47.630931854248047;
26.719999999999999;-47.642833709716797;
26.879999999999999;-47.662361145019531;
27.039999999999999;-47.703697204589844;
27.199999999999999;-47.746845245361328;
27.359999999999999;-47.765167236328125;
27.52;-47.742080688476563;
27.68;-47.727981567382813;
27.84;-47.729595184326172;
28;-47.741092681884766;
28.16;-47.748149871826172;
28.32;-47.763816833496094;
28.48;-47.797084808349609;
28.640000000000001;-47.814064025878906;
28.800000000000001;-47.831436157226563;
28.960000000000001;-47.862232208251953;
29.120000000000001;-47.891902923583984;
29.280000000000001;-47.900596618652344;
29.440000000000001;-47.914932250976563;
29.600000000000001;-47.915390014648438;
29.760000000000002;-47.942760467529297;
29.920000000000002;-47.967540740966797;
30.080000000000002;-47.987720489501953;
30.240000000000002;-48.014019012451172;
30.400000000000002;-48.025714874267578;
30.560000000000002;-48.044261932373047;
30.719999999999999;-48.054595947265625;
30.879999999999999;-48.073532104492187;
31.039999999999999;-48.105201721191406;
31.199999999999999;-48.142112731933594;
31.359999999999999;-48.154499053955078;
31.52;-48.162181854248047;
31.68;-48.173465728759766;
31.84;-48.183292388916016;
32;-48.198200225830078;
32.160000000000004;-48.231800079345703;
32.32;-48.26629638671875;
32.480000000000004;-48.270687103271484;
32.640000000000001;-48.278717041015625;
32.799999999999997;-48.284503936767578;
32.960000000000001;-48.286319732666016;
33.119999999999997;-48.305049896240234;
33.280000000000001;-48.325260162353516;
33.439999999999998;-48.351497650146484;
33.600000000000001;-48.364330291748047;
33.759999999999998;-48.384197235107422;
33.920000000000002;-48.408618927001953;
34.079999999999998;-48.430191040039063;
34.240000000000002;-48.455039978027344;
34.399999999999999;-48.492294311523438;
34.560000000000002;-48.580940246582031;
34.719999999999999;-48.544288635253906;
34.880000000000003;-48.605625152587891;
35.039999999999999;-48.555091857910156;
